Datetime,Temperature,Humidity,WindSpeed,F1_132KV_PowerConsumption,F2_132KV_PowerConsumption,F3_132KV_PowerConsumption,CloudCover,Total_PowerConsumption,hour,minute,time_of_day_frac,dayofweek,is_weekend,is_sunday,month,dayofyear,block_of_day,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,is_fan_on,cooling_degree,temp_sq,cloud_temp_interaction,date,is_holiday,is_pre_holiday,is_post_holiday,days_to_nearest_holiday,Total_PowerConsumption_lag_1,Total_PowerConsumption_lag_6,Total_PowerConsumption_lag_144,Total_PowerConsumption_lag_288,Total_PowerConsumption_lag_1008,F1_132KV_PowerConsumption_lag_1,F1_132KV_PowerConsumption_lag_6,F1_132KV_PowerConsumption_lag_144,F1_132KV_PowerConsumption_lag_288,F1_132KV_PowerConsumption_lag_1008,F2_132KV_PowerConsumption_lag_1,F2_132KV_PowerConsumption_lag_6,F2_132KV_PowerConsumption_lag_144,F2_132KV_PowerConsumption_lag_288,F2_132KV_PowerConsumption_lag_1008,F3_132KV_PowerConsumption_lag_1,F3_132KV_PowerConsumption_lag_6,F3_132KV_PowerConsumption_lag_144,F3_132KV_PowerConsumption_lag_288,F3_132KV_PowerConsumption_lag_1008,Total_PowerConsumption_roll_1h_mean,Total_PowerConsumption_roll_1h_std,Total_PowerConsumption_roll_6h_mean,Total_PowerConsumption_roll_6h_std,Total_PowerConsumption_roll_24h_mean,Total_PowerConsumption_roll_24h_std,F1_132KV_PowerConsumption_roll_1h_mean,F1_132KV_PowerConsumption_roll_1h_std,F1_132KV_PowerConsumption_roll_6h_mean,F1_132KV_PowerConsumption_roll_6h_std,F1_132KV_PowerConsumption_roll_24h_mean,F1_132KV_PowerConsumption_roll_24h_std,F2_132KV_PowerConsumption_roll_1h_mean,F2_132KV_PowerConsumption_roll_1h_std,F2_132KV_PowerConsumption_roll_6h_mean,F2_132KV_PowerConsumption_roll_6h_std,F2_132KV_PowerConsumption_roll_24h_mean,F2_132KV_PowerConsumption_roll_24h_std,F3_132KV_PowerConsumption_roll_1h_mean,F3_132KV_PowerConsumption_roll_1h_std,F3_132KV_PowerConsumption_roll_6h_mean,F3_132KV_PowerConsumption_roll_6h_std,F3_132KV_PowerConsumption_roll_24h_mean,F3_132KV_PowerConsumption_roll_24h_std
2017-12-20 14:00:00,17.95,56.88,0.075,32413.68821,25793.18809,9726.770708,28.0,67933.647008,14,0,14.0,2,0,0,12,354,84,-0.4999999999999997,-0.8660254037844387,0.9749279121818238,-0.2225209339563143,-2.4492935982947064e-16,1.0,0,0.0,322.2025,502.6,2017-12-20,0,0,0,5,67266.660156,68739.64491,66569.191676,66788.821386,67482.46058,31945.24715,32590.11407,31288.21293,31811.40684,31701.90114,25410.24854,26025.16109,25767.41332,26212.94876,24964.7131,9911.164466,10124.36975,9513.565426,8764.465786,10815.84634,68178.3498635,504.4209448522919,62715.23064044444,6354.082203781697,64914.90917483333,14740.694415873946,32388.339671666665,243.3282633033857,29964.51204083333,3003.8342395978952,29676.299113125,6364.389970441764,25774.16385333333,207.05668826271736,23849.2380075,2255.909324113542,24462.53963361111,5905.025299515471,10015.8463385,80.6242357975604,8901.480592111111,1110.256490796283,10776.070428097222,2857.775357400157
2017-12-20 14:10:00,17.73,57.18,0.078,32249.42966,25741.63854,9697.959184,36.0,67689.027384,14,10,14.166666666666666,2,0,0,12,354,85,-0.5372996083468234,-0.8433914458128859,0.9749279121818238,-0.2225209339563143,-2.4492935982947064e-16,1.0,0,0.0,314.35290000000003,638.28,2017-12-20,0,0,0,5,67933.647008,68355.44083,67354.295366,66996.756534,66758.49979,32413.68821,32523.19392,31647.14829,31957.41445,31111.78707,25793.18809,25811.59865,26216.63087,26113.53176,24773.24333,9726.770708,10020.64826,9490.516206,8925.810324,10873.46939,68044.01687983332,426.32328186181775,63234.47627541666,5973.9150739735815,64924.38455908333,14742.20369401047,32358.935361666667,223.95766497474008,30217.65948472222,2803.500390375632,29684.11491368056,6367.073831937602,25735.501686666667,168.97105713695413,24032.423033333336,2131.808274380869,24462.718625069443,5905.065519573886,9949.5798315,124.85289471599118,8984.393757361111,1054.4226278408669,10777.551020333332,2857.171855141458
2017-12-20 14:20:00,17.91,56.54,0.074,32371.10266,25899.96932,9876.590636,44.0,68147.662616,14,20,14.333333333333334,2,0,0,12,354,86,-0.5735764363510457,-0.8191520442889921,0.9749279121818238,-0.2225209339563143,-2.4492935982947064e-16,1.0,0,0.0,320.7681,788.04,2017-12-20,0,0,0,5,67689.027384,68465.58227,67313.45956,66798.581266,67361.07471,32249.42966,32571.86312,31744.48669,31896.57795,31689.73384,25741.63854,25855.78398,25992.02209,26091.43909,24648.05155,9697.959184,10037.93517,9576.95078,8810.564226,11023.28932,67932.94797216666,415.6374754998373,63714.66067694443,5595.783952887517,64926.70908698611,14742.615902176034,32313.307985,211.3313314242272,30449.852133611115,2603.5179100952328,29688.297423194446,6368.570002072654,25723.84166833333,165.03773370049484,24207.42559027778,1998.599267698112,24459.42006722222,5904.211539547056,9895.798318833333,154.17441336685863,9057.382953055556,1008.068386367194,10778.991596569444,2856.570631478608
2017-12-20 14:30:00,17.86,55.44,0.077,32152.09125,25634.85732,9888.115246,52.0,67675.063816,14,30,14.5,2,0,0,12,354,87,-0.6087614290087205,-0.7933533402912353,0.9749279121818238,-0.2225209339563143,-2.4492935982947064e-16,1.0,0,0.0,318.9796,928.72,2017-12-20,0,0,0,5,68147.662616,68174.388595,66877.69631099999,66822.12641699999,66766.34173,32371.10266,32395.43726,31616.73004,31659.31559,31428.13688,25899.96932,25844.73765,25741.63854,26455.96809,24401.35011,9876.590636,9934.213685,9519.327731,8706.842737,10936.85474,67879.96136316667,349.09315485904017,64185.28770411111,5212.995951106763,64932.502163763886,14743.724186186726,32279.847908333333,174.9723775045779,30672.412336388887,2402.673746651254,29692.64892298611,6370.198642495791,25731.20589166666,172.90115851944347,24379.462002500004,1861.998088604905,24458.780811875,5904.049423779879,9868.907563166667,137.60532174536377,9133.413365222224,961.4241392753744,10781.072428902778,2855.797926968836
2017-12-20 14:40:00,17.83,55.81,0.077,31987.8327,25958.88309,9628.811525,60.0,67575.527315,14,40,14.666666666666666,2,0,0,12,354,88,-0.6427876096865389,-0.7660444431189785,0.9749279121818238,-0.2225209339563143,-2.4492935982947064e-16,1.0,0,0.0,317.9089,1069.8,2017-12-20,0,0,0,5,67675.063816,68068.38242,67283.852706,66787.373746,66778.18447000001,32152.09125,32304.18251,31561.97719,31555.89354,31501.14068,25634.85732,25697.45321,26231.35931,26467.01442,24305.61522,9888.115246,10066.7467,9490.516206,8764.465786,10971.42857,67796.74056666666,323.44135728627583,64620.77773955556,4804.591438008949,64938.03943810417,14744.60955443161,32239.29024,170.97835138642012,30875.707646666662,2195.1744642031595,29696.366709166665,6371.485524915027,25696.225836666665,166.4487997625454,24531.144522777777,1727.182138560744,24458.039275625,5903.893876491222,9861.22449,134.48121855068914,9213.92557011111,895.9014276275472,10783.6334533125,2854.8237006399067
2017-12-20 14:50:00,17.71,59.28,0.074,31890.4943,26330.77631,9588.47539,68.0,67809.746,14,50,14.833333333333334,2,0,0,12,354,89,-0.6755902076156601,-0.7372773368101242,0.9749279121818238,-0.2225209339563143,-2.4492935982947064e-16,1.0,0,0.0,313.64410000000004,1204.28,2017-12-20,0,0,0,5,67575.527315,67266.660156,66838.329583,66672.72278499999,66873.91777,31987.8327,31945.24715,31087.45247,31209.12548,31403.80228,25958.88309,25410.24854,26404.41853,26606.93464,24504.44922,9628.811525,9911.164466,9346.458583,8856.662665,10965.66627,67714.59804916666,302.5667546702853,65031.00981663889,4378.696105348717,64940.064956222224,14744.954090595194,32186.565271666663,194.16917222712,31058.048162222225,1992.6422842891925,29699.32403909722,6372.456261511018,25739.79748333333,198.051715789488,24687.32740083333,1585.4165390909657,24456.147079652776,5903.365194157212,9788.235294166669,118.52245522296788,9285.634253583334,817.4021623446208,10784.593837472225,2854.408875870044
2017-12-20 15:00:00,17.62,60.75,0.074,31744.48669,26319.72998,9536.614646,76.0,67600.831316,15,0,15.0,2,0,0,12,354,90,-0.7071067811865471,-0.707106781186548,0.9749279121818238,-0.2225209339563143,-2.4492935982947064e-16,1.0,0,0.0,310.4644,1339.12,2017-12-20,0,0,0,5,67809.746,67933.647008,66758.926679,66575.197518,66598.52701,31890.4943,32413.68821,30923.19392,31044.86692,31032.69962,26330.77631,25793.18809,26529.61031,26529.61031,24467.62811,9588.47539,9726.770708,9306.122449,9000.720288,11098.19928,67805.11235649999,208.3175185048688,65427.72833686111,3930.786060320357,64946.8109035625,14746.05081177264,32177.439796666666,208.53406238402,31230.92522194445,1768.9755444318232,29704.900718472218,6374.030724263525,25893.21877833333,243.12437787894856,24845.86273888889,1446.7259251122296,24455.63567534722,5903.198423964106,9734.4537815,124.63995615921333,9350.940376027778,739.2710448992704,10786.274509743054,2853.62732479603
2017-12-20 15:10:00,17.56,63.62,0.075,31641.06464,26084.07487,9853.541417,77.16666666666667,67578.68092700001,15,10,15.166666666666666,2,0,0,12,354,91,-0.737277336810124,-0.6755902076156605,0.9749279121818238,-0.2225209339563143,-2.4492935982947064e-16,1.0,0,0.0,308.3536,1355.0466666666666,2017-12-20,0,0,0,5,67600.831316,67689.027384,66581.221314,66897.880703,66302.0509,31744.48669,32249.42966,30904.94297,31123.95437,30953.61217,26319.72998,25741.63854,26352.86898,26404.41853,24342.43633,9536.614646,9697.959184,9323.409364,9369.507803,11006.0024,67749.6430745,211.53225852230307,65773.11162291667,3529.2000260581262,64952.65746354167,14746.94118294744,32065.90621,234.277147803034,31376.93282638889,1572.3283576116048,29710.60414048612,6375.495738735328,25980.97576,290.25687077013987,24989.0559475,1321.6794053136357,24454.17817305556,5902.708667293924,9702.7611045,148.8155453043093,9407.12284902778,669.2195534795799,10787.87515,2852.8558194244965
2017-12-20 15:20:00,17.43,64.62,0.072,31732.31939,26080.39276,9784.393758,78.33333333333333,67597.105908,15,20,15.333333333333334,2,0,0,12,354,92,-0.766044443118978,-0.6427876096865395,0.9749279121818238,-0.2225209339563143,-2.4492935982947064e-16,1.0,0,0.0,303.8049,1365.35,2017-12-20,0,0,0,5,67578.68092700001,68147.662616,66643.639417,66441.953395,66533.25473,31641.06464,32371.10266,30953.61217,30977.94677,31227.37643,26084.07487,25899.96932,26257.13409,26198.22031,24438.17122,9853.541417,9876.590636,9432.893157,9265.786315,10867.70708,67731.25199833333,222.37530700382263,66083.00674099999,3154.5971985636006,64959.584266409714,14747.945711641252,31964.51204,268.16179688916264,31501.478664999995,1396.266312692161,29715.716096527776,6376.75506364776,26038.04848166667,266.4764917966261,25114.86140944445,1194.9461051432977,24452.311547291665,5902.146515475356,9728.691476666669,160.87738909749962,9466.666666555557,606.3055082016339,10791.556622590278,2851.294409155323
2017-12-20 15:30:00,17.33,65.19,0.073,31519.39163,26010.43265,9542.376951,79.5,67072.201231,15,30,15.5,2,0,0,12,354,93,-0.793353340291235,-0.6087614290087209,0.9749279121818238,-0.2225209339563143,-2.4492935982947064e-16,1.0,0,0.0,300.3288999999999,1377.735,2017-12-20,0,0,0,5,67597.105908,67675.063816,66421.277933,66082.23336500001,66179.33923,31732.31939,32152.09125,30692.01521,30911.02662,31020.53232,26080.39276,25634.85732,26371.27953,25951.51887,24596.50199,9784.393758,9888.115246,9357.983193,9219.687875,10562.30492,67639.49254699999,90.92026772600872,66361.00372372223,2806.4606512164,64966.20556148611,14748.921082623849,31858.048161666666,189.8124846567252,31611.998310000003,1239.8346136830048,29721.123785555552,6378.142212811541,26068.119055,257.81790090628505,25225.836146111116,1086.1075283023013,24451.084176944445,5901.786938228611,9713.325330333331,147.79684956686998,9523.16926761111,532.0130966651176,10793.99759898611,2850.273407468068
